Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,DesiredPerformance,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q2,UID
Human Settlements,Human Settlements,Western Cape,Human Settlements,"Sub Programme: 4.2 Human Settlements Need, Research and Planning",Annually,4.2.1 Number of Integrated Implementation Programmes for priority development areas completed per year,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Enable a resilient, sustainable, quality and inclusive living environment","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,5,5,5,5,5,,,,,,,,,,,,,,,,,,50
Human Settlements,Human Settlements,Western Cape,Human Settlements,"Sub Programme: 4.2 Human Settlements Need, Research and Planning",Annually,4.2.2 Percentage of land acquired during 2014-2019 within the PDAs rezoned,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",VIP 4: Mobility and Spatial Transformation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,0 %,0 %,0 %,0 %,0,"Amendment was made for 0%, due to Municipal delays. ",,,On Target,,,,,,,,,,,,,,50
Human Settlements,Human Settlements,Western Cape,Human Settlements,"Sub Programme: 4.2 Human Settlements Need, Research and Planning",Annually,4.2.2 Percentage of land acquired during 2014-2019 within the PDAs rezoned.,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Increase wellness, safety and tackle social ills","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,10 %,,10 %,,0,,,,,,,,,,,,,,,,,,50
Human Settlements,Human Settlements,Western Cape,Human Settlements,"Sub Programme: 4.2 Human Settlements Needs, Research and Planning",Quarterly,4.2.3 Number of Social Housing projects endorsed for approval,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Enable a resilient, sustainable, quality and inclusive living environment","The Economic Sectors, Employment and Infrastructure Development cluster",2,2,1,1,0,1,0,0,3,4,4,The Greenwood Mews project is being developed by a private developer as an Other Delivery Agent (ODA). The project has been 'repackaged' to meet the SHRA's minimum investment criteria and hence has been supported by the Province. This project is an 'over performance'. The project was not initially included as it was not meeting the minimum investment criteria.,,,,,,The Q1 target of 2 achieved (2). The PDO notes that the reason for deviation and corrective action not required.,Achievement is on target. No further intervention required. ,Achievement is on target. No further intervention required. ,The Q2 target of 1 achieved (1). The reason for deviation and corrective action is not required.,"The Greenwood Mews project is being developed by a private developer as an Other Delivery Agent (ODA). The project has been 'repackaged' to meet the SHRA's minimum investment criteria and hence has been supported by the Province. This project is an 'over performance'. The project was not initially included as it was not meeting the minimum investment criteria.




",,"Performance of 1 reported, though no target due to be reported. The PDO notes the performance report, however it much be mentioned that the performance reported for this indicators will not be considered for the overall achievement of the department.",,,"No target, hence no performance reported.",,50
Human Settlements,Human Settlements,Western Cape,Human Settlements,Sub Programme: 4.3 Human Settlements Development,Annually,4.3.4 Number of informal settlements upgraded to phase 3 of the Upgrading of Informal Settlements Programme (UISP),Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Enable a resilient, sustainable, quality and inclusive living environment","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,2,,2,,0,,,,,,,,,,,,,,,,,,50
Human Settlements,Human Settlements,Western Cape,Human Settlements,Sub Programme: 4.3 Human Settlements Development,Annually,4.3.4 Number of informal settlements upgraded to phase 3 of the Upgrading of Informal Settlements Programme (UISP),Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",VIP 4: Mobility and Spatial Transformation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,1,0,1,0,0,Political instability at TWK Municipality has lead to delays in  Destiny Farm project completion. ,,,On Target,,,,,,,,,,,,,,50
Human Settlements,Human Settlements,Western Cape,Human Settlements,Sub Programme: 4.3 Human Settlements Development,Annually,4.3.5 Percentage of investment of the total Human Settlements allocation in PDAs,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",VIP 4: Mobility and Spatial Transformation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,40 %,49 %,40 %,49 %,49,,,,On Target,,,,,,,,,,,,,,50
Human Settlements,Human Settlements,Western Cape,Human Settlements,Sub Programme: 4.3 Human Settlements Development,Annually,4.3.5 Percentage of investment of the total Human Settlements allocation in PDAs.,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Increase wellness, safety and tackle social ills","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,45 %,,45 %,,0,,,,,,,,,,,,,,,,,,50
Human Settlements,Human Settlements,Western Cape,Human Settlements,Sub Programme: 4.3 Human Settlements Development,Annually,"4.3.8 Percentage of the amount spent on designated groups paid to contractors with women representation, within the housing sector",Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Increase wellness, safety and tackle social ills","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,10 %,0 %,10 %,0 %,0,,,,,,,,,,,,,,,,,,50
Human Settlements,Human Settlements,Western Cape,Human Settlements,Sub Programme: 4.3 Human Settlements Development,Quarterly,4.3.1 Number of households that received subsidies through FLISP (Finance Linked Individual Subsidy Programme),Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Enable a resilient, sustainable, quality and inclusive living environment","The Economic Sectors, Employment and Infrastructure Development cluster",250,369,250,437,250,377,250,149,1000,1332,1332,,,,,The Department received a higher demand of FLISP subsidies than was anticipated during the first quarter,,The Q1 target of 250 exceeded(344). The PDO notes the reason for deviation and the corrective action is not required.,"A management decision was taken to accelerate the processing of FLISP / FHF subsidies




",,The Q2 target of 250 is not achieved (0). As this is an under-performance. Please provide the reason for deviation and corrective action.,A Management decision was taken to accelerate the processing of FLISP/FHF subsidies,,The Q3 target of 250 exceeded (354). The reason for deviation is noted and corrective action not required.,Annual Target achieved,,"No performance reported against a Q4 target of 250. As and when data becomes available, PDO asks that the department remembers to give the reason for deviation, both for under and over performance, and where there is an under-performance to also give the corrective action.",The output is noted however not verified by National.There are cells (reason for deviation and corrective  action) not completed,50
